word,english,first_person_present_singular,second_person_present_singular,third_person_present_singular,first_person_present_plural,second_person_present_plural,third_person_present_plural,first_person_future_singular_i,second_person_future_singular_i,third_person_future_singular_i,first_person_future_plural_i,second_person_future_plural_i,third_person_future_plural_i,first_person_future_singular_ii,second_person_future_singular_ii,third_person_future_singular_ii,first_person_future_plural_ii,second_person_future_plural_ii,third_person_future_plural_ii,first_person_past_perfect_singular,second_person_past_perfect_singular,third_person_past_perfect_singular,first_person_past_perfect_plural,second_person_past_perfect_plural,third_person_past_perfect_plural,first_person_past_pluperfect_singular,second_person_past_pluperfect_singular,third_person_past_pluperfect_singular,first_person_past_pluperfect_plural,second_person_past_pluperfect_plural,third_person_past_pluperfect_plural,first_person_past_imperfect_singular,second_person_past_imperfect_singular,third_person_past_imperfect_singular,first_person_past_imperfect_plural,second_person_past_imperfect_plural,third_person_past_imperfect_plural,first_person_past_aorist_singular,second_person_past_aorist_singular,third_person_past_aorist_singular,first_person_past_aorist_plural,second_person_past_aorist_plural,third_person_past_aorist_plural,first_person_conditional_i_singular,second_person_conditional_i_singular,third_person_conditional_i_singular,first_person_conditional_i_plural,second_person_conditional_i_plural,third_person_conditional_i_plural,first_person_conditional_ii_singular,second_person_conditional_ii_singular,third_person_conditional_ii_singular,first_person_conditional_ii_plural,second_person_conditional_ii_plural,third_person_conditional_ii_plural,first_person_imperative_singular,first_person_imperative_plural,second_person_imperative_plural
nagraditi,to reward,nagradim,nagradiš,nagradi,nagradimo,nagradite,nagrade,nagradit ću,nagradit ćeš,nagradit će,nagradit ćemo,nagradit ćete,nagradit će,budem nagradio,budeš nagradio,bude nagradio,budemo nagradili,budete nagradili,budu nagradili,nagradio sam,nagradio si,nagradio je,nagradili smo,nagradili ste,nagradili su,bio sam nagradio,bio si nagradio,bio je nagradio,bili smo nagradili,bili ste nagradili,bili su nagradili,,,,,,,nagradih,nagradi,nagradi,nagradismo,nagradiste,nagradiše,nagradio bih,nagradio bi,nagradio bi,nagradili bismo,nagradili biste,nagradili bi,bio bih nagradio,bio bi nagradio,bio bi nagradio,bili bismo nagradili,bili biste nagradili,bili bi nagradili,nagradi,nagradimo,nagradite
nagrađivati,to reward,nagrađujem,nagrađuješ,nagrađuje,nagrađujemo,nagrađujete,nagrađuju,nagrađivat ću,nagrađivat ćeš,nagrađivat će,nagrađivat ćemo,nagrađivat ćete,nagrađivat će,budem nagrađivao,budeš nagrađivao,bude nagrađivao,budemo nagrađivali,budete nagrađivali,budu nagrađivali,nagrađivao sam,nagrađivao si,nagrađivao je,nagrađivali smo,nagrađivali ste,nagrađivali su,bio sam nagrađivao,bio si nagrađivao,bio je nagrađivao,bili smo nagrađivali,bili ste nagrađivali,bili su nagrađivali,nagrađivah,nagrađivaše,nagrađivaše,nagrađivasmo,nagrađivaste,nagrađivahu,,,,,,,nagrađivao bih,nagrađivao bi,nagrađivao bi,nagrađivali bismo,nagrađivali biste,nagrađivali bi,bio bih nagrađivao,bio bi nagrađivao,bio bi nagrađivao,bili bismo nagrađivali,bili biste nagrađivali,bili bi nagrađivali,nagrađuj,nagrađujmo,nagrađujte
nagrditi,to deform,nagrdim,nagrdiš,nagrdi,nagrdimo,nagrdite,nagrde,nagrdit ću,nagrdit ćeš,nagrdit će,nagrdit ćemo,nagrdit ćete,nagrdit će,budem nagrdio,budeš nagrdio,bude nagrdio,budemo nagrdili,budete nagrdili,budu nagrdili,nagrdio sam,nagrdio si,nagrdio je,nagrdili smo,nagrdili ste,nagrdili su,bio sam nagrdio,bio si nagrdio,bio je nagrdio,bili smo nagrdili,bili ste nagrdili,bili su nagrdili,,,,,,,nagrdih,nagrdi,nagrdi,nagrdismo,nagrdiste,nagrdiše,nagrdio bih,nagrdio bi,nagrdio bi,nagrdili bismo,nagrdili biste,nagrdili bi,bio bih nagrdio,bio bi nagrdio,bio bi nagrdio,bili bismo nagrdili,bili biste nagrdili,bili bi nagrdili,nagrdi,nagrdimo,nagrdite
nagristi,to bite away,nagrizem,nagrizeš,nagrize,nagrizemo,nagrizete,nagrizu,nagrist ću,nagrist ćeš,nagrist će,nagrist ćemo,nagrist ćete,nagrist će,budem nagrizao,budeš nagrizao,bude nagrizao,budemo nagrizli,budete nagrizli,budu nagrizli,nagrizao sam,nagrizao si,nagrizao je,nagrizli smo,nagrizli ste,nagrizli su,bio sam nagrizao,bio si nagrizao,bio je nagrizao,bili smo nagrizli,bili ste nagrizli,bili su nagrizli,,,,,,,nagrizoh,nagrize,nagrize,nagrizosmo,nagrizoste,nagrizoše,nagrizao bih,nagrizao bi,nagrizao bi,nagrizli bismo,nagrizli biste,nagrizli bi,bio bih nagrizao,bio bi nagrizao,bio bi nagrizao,bili bismo nagrizli,bili biste nagrizli,bili bi nagrizli,nagrizi,nagrizimo,nagrizite
nagrizati,to bite away,nagrizam,nagrizaš,nagriza,nagrizamo,nagrizate,nagrizaju,nagrizat ću,nagrizat ćeš,nagrizat će,nagrizat ćemo,nagrizat ćete,nagrizat će,budem nagrizao,budeš nagrizao,bude nagrizao,budemo nagrizali,budete nagrizali,budu nagrizali,nagrizao sam,nagrizao si,nagrizao je,nagrizali smo,nagrizali ste,nagrizali su,bio sam nagrizao,bio si nagrizao,bio je nagrizao,bili smo nagrizali,bili ste nagrizali,bili su nagrizali,nagrizah,nagrizaše,nagrizaše,nagrizasmo,nagrizaste,nagrizahu,,,,,,,nagrizao bih,nagrizao bi,nagrizao bi,nagrizali bismo,nagrizali biste,nagrizali bi,bio bih nagrizao,bio bi nagrizao,bio bi nagrizao,bili bismo nagrizali,bili biste nagrizali,bili bi nagrizali,nagrizaj,nagrizajmo,nagrizajte
nagrnuti,to crowd,nagrnem,nagrneš,nagrne,nagrnemo,nagrnete,nagrnu,nagrnut ću,nagrnut ćeš,nagrnut će,nagrnut ćemo,nagrnut ćete,nagrnut će,budem nagrnuo,budeš nagrnuo,bude nagrnuo,budemo nagrnuli,budete nagrnuli,budu nagrnuli,nagrnuo sam,nagrnuo si,nagrnuo je,nagrnuli smo,nagrnuli ste,nagrnuli su,bio sam nagrnuo,bio si nagrnuo,bio je nagrnuo,bili smo nagrnuli,bili ste nagrnuli,bili su nagrnuli,,,,,,,nagrnuh,nagrnu,nagrnu,nagrnusmo,nagrnuste,nagrnuše,nagrnuo bih,nagrnuo bi,nagrnuo bi,nagrnuli bismo,nagrnuli biste,nagrnuli bi,bio bih nagrnuo,bio bi nagrnuo,bio bi nagrnuo,bili bismo nagrnuli,bili biste nagrnuli,bili bi nagrnuli,nagrni,nagrnimo,nagrnite
nagrđivati,to deform,nagrđujem,nagrđuješ,nagrđuje,nagrđujemo,nagrđujete,nagrđuju,nagrđivat ću,nagrđivat ćeš,nagrđivat će,nagrđivat ćemo,nagrđivat ćete,nagrđivat će,budem nagrđivao,budeš nagrđivao,bude nagrđivao,budemo nagrđivali,budete nagrđivali,budu nagrđivali,nagrđivao sam,nagrđivao si,nagrđivao je,nagrđivali smo,nagrđivali ste,nagrđivali su,bio sam nagrđivao,bio si nagrđivao,bio je nagrđivao,bili smo nagrđivali,bili ste nagrđivali,bili su nagrđivali,nagrđivah,nagrđivaše,nagrđivaše,nagrđivasmo,nagrđivaste,nagrđivahu,,,,,,,nagrđivao bih,nagrđivao bi,nagrđivao bi,nagrđivali bismo,nagrđivali biste,nagrđivali bi,bio bih nagrđivao,bio bi nagrđivao,bio bi nagrđivao,bili bismo nagrđivali,bili biste nagrđivali,bili bi nagrđivali,nagrđuj,nagrđujmo,nagrđujte
nagurati,to cram,naguram,naguraš,nagura,naguramo,nagurate,naguraju,nagurat ću,nagurat ćeš,nagurat će,nagurat ćemo,nagurat ćete,nagurat će,budem nagurao,budeš nagurao,bude nagurao,budemo nagurali,budete nagurali,budu nagurali,nagurao sam,nagurao si,nagurao je,nagurali smo,nagurali ste,nagurali su,bio sam nagurao,bio si nagurao,bio je nagurao,bili smo nagurali,bili ste nagurali,bili su nagurali,,,,,,,nagurah,nagura,nagura,nagurasmo,naguraste,naguraše,nagurao bih,nagurao bi,nagurao bi,nagurali bismo,nagurali biste,nagurali bi,bio bih nagurao,bio bi nagurao,bio bi nagurao,bili bismo nagurali,bili biste nagurali,bili bi nagurali,naguraj,nagurajmo,nagurajte
naguravati,to cram,naguravam,naguravaš,nagurava,naguravamo,naguravate,naguravaju,naguravat ću,naguravat ćeš,naguravat će,naguravat ćemo,naguravat ćete,naguravat će,budem naguravao,budeš naguravao,bude naguravao,budemo naguravali,budete naguravali,budu naguravali,naguravao sam,naguravao si,naguravao je,naguravali smo,naguravali ste,naguravali su,bio sam naguravao,bio si naguravao,bio je naguravao,bili smo naguravali,bili ste naguravali,bili su naguravali,naguravah,naguravaše,naguravaše,naguravasmo,naguravaste,naguravahu,,,,,,,naguravao bih,naguravao bi,naguravao bi,naguravali bismo,naguravali biste,naguravali bi,bio bih naguravao,bio bi naguravao,bio bi naguravao,bili bismo naguravali,bili biste naguravali,bili bi naguravali,naguravaj,naguravajmo,naguravajte
nahraniti,to feed,nahranim,nahraniš,nahrani,nahranimo,nahranite,nahrane,nahranit ću,nahranit ćeš,nahranit će,nahranit ćemo,nahranit ćete,nahranit će,budem nahranio,budeš nahranio,bude nahranio,budemo nahranili,budete nahranili,budu nahranili,nahranio sam,nahranio si,nahranio je,nahranili smo,nahranili ste,nahranili su,bio sam nahranio,bio si nahranio,bio je nahranio,bili smo nahranili,bili ste nahranili,bili su nahranili,,,,,,,nahranih,nahrani,nahrani,nahranismo,nahraniste,nahraniše,nahranio bih,nahranio bi,nahranio bi,nahranili bismo,nahranili biste,nahranili bi,bio bih nahranio,bio bi nahranio,bio bi nahranio,bili bismo nahranili,bili biste nahranili,bili bi nahranili,nahrani,nahranimo,nahranite
nahrupiti,to dash,nahrupim,nahrupiš,nahrupi,nahrupimo,nahrupite,nahrupe,nahrupit ću,nahrupit ćeš,nahrupit će,nahrupit ćemo,nahrupit ćete,nahrupit će,budem nahrupio,budeš nahrupio,bude nahrupio,budemo nahrupili,budete nahrupili,budu nahrupili,nahrupio sam,nahrupio si,nahrupio je,nahrupili smo,nahrupili ste,nahrupili su,bio sam nahrupio,bio si nahrupio,bio je nahrupio,bili smo nahrupili,bili ste nahrupili,bili su nahrupili,nahrupih,nahrupi,nahrupi,nahrupismo,nahrupiste,nahrupiše,,,,,,,nahrupio bih,nahrupio bi,nahrupio bi,nahrupili bismo,nahrupili biste,nahrupili bi,bio bih nahrupio,bio bi nahrupio,bio bi nahrupio,bili bismo nahrupili,bili biste nahrupili,bili bi nahrupili,nahrupi,nahrupimo,nahrupite
nahuškati,to incite,nahuškam,nahuškaš,nahuška,nahuškamo,nahuškate,nahuškaju,nahuškat ću,nahuškat ćeš,nahuškat će,nahuškat ćemo,nahuškat ćete,nahuškat će,budem nahuškao,budeš nahuškao,bude nahuškao,budemo nahuškali,budete nahuškali,budu nahuškali,nahuškao sam,nahuškao si,nahuškao je,nahuškali smo,nahuškali ste,nahuškali su,bio sam nahuškao,bio si nahuškao,bio je nahuškao,bili smo nahuškali,bili ste nahuškali,bili su nahuškali,,,,,,,nahuškah,nahuška,nahuška,nahuškasmo,nahuškaste,nahuškaše,nahuškao bih,nahuškao bi,nahuškao bi,nahuškali bismo,nahuškali biste,nahuškali bi,bio bih nahuškao,bio bi nahuškao,bio bi nahuškao,bili bismo nahuškali,bili biste nahuškali,bili bi nahuškali,nahuškaj,nahuškajmo,nahuškajte
nahvaliti,to amply praise,nahvalim,nahvališ,nahvali,nahvalimo,nahvalite,nahvale,nahvalit ću,nahvalit ćeš,nahvalit će,nahvalit ćemo,nahvalit ćete,nahvalit će,budem nahvalio,budeš nahvalio,bude nahvalio,budemo nahvalili,budete nahvalili,budu nahvalili,nahvalio sam,nahvalio si,nahvalio je,nahvalili smo,nahvalili ste,nahvalili su,bio sam nahvalio,bio si nahvalio,bio je nahvalio,bili smo nahvalili,bili ste nahvalili,bili su nahvalili,,,,,,,nahvalih,nahvali,nahvali,nahvalismo,nahvaliste,nahvališe,nahvalio bih,nahvalio bi,nahvalio bi,nahvalili bismo,nahvalili biste,nahvalili bi,bio bih nahvalio,bio bi nahvalio,bio bi nahvalio,bili bismo nahvalili,bili biste nahvalili,bili bi nahvalili,nahvali,nahvalimo,nahvalite
nailaziti,to come,nailazim,nailaziš,nailazi,nailazimo,nailazite,nailaze,nailazit ću,nailazit ćeš,nailazit će,nailazit ćemo,nailazit ćete,nailazit će,budem nailazio,budeš nailazio,bude nailazio,budemo nailazili,budete nailazili,budu nailazili,nailazio sam,nailazio si,nailazio je,nailazili smo,nailazili ste,nailazili su,bio sam nailazio,bio si nailazio,bio je nailazio,bili smo nailazili,bili ste nailazili,bili su nailazili,nailažah,nailažaše,nailažaše,nailažasmo,nailažaste,nailažahu,,,,,,,nailazio bih,nailazio bi,nailazio bi,nailazili bismo,nailazili biste,nailazili bi,bio bih nailazio,bio bi nailazio,bio bi nailazio,bili bismo nailazili,bili biste nailazili,bili bi nailazili,nailazi,nailazimo,nailazite
naići,to come,naiđem,naiđeš,naiđe,naiđemo,naiđete,naiđu,naići ću,naići ćeš,naići će,naići ćemo,naići ćete,naići će,budem naišao,budeš naišao,bude naišao,budemo naišli,budete naišli,budu naišli,naišao sam,naišao si,naišao je,naišli smo,naišli ste,naišli su,bio sam naišao,bio si naišao,bio je naišao,bili smo naišli,bili ste naišli,bili su naišli,,,,,,,naiđoh,naiđe,naiđe,naiđosmo,naiđoste,naiđoše,naišao bih,naišao bi,naišao bi,naišli bismo,naišli biste,naišli bi,bio bih naišao,bio bi naišao,bio bi naišao,bili bismo naišli,bili biste naišli,bili bi naišli,naiđi,naiđimo,naiđite
najahati,to mount,najašem,najašeš,najaše,najašemo,najašete,najašu,najahat ću,najahat ćeš,najahat će,najahat ćemo,najahat ćete,najahat će,budem najahao,budeš najahao,bude najahao,budemo najahali,budete najahali,budu najahali,najahao sam,najahao si,najahao je,najahali smo,najahali ste,najahali su,bio sam najahao,bio si najahao,bio je najahao,bili smo najahali,bili ste najahali,bili su najahali,,,,,,,najahah,najaha,najaha,najahasmo,najahaste,najahaše,najahao bih,najahao bi,najahao bi,najahali bismo,najahali biste,najahali bi,bio bih najahao,bio bi najahao,bio bi najahao,bili bismo najahali,bili biste najahali,bili bi najahali,najaši,najašimo,najašite
najaviti,to announce,najavim,najaviš,najavi,najavimo,najavite,najave,najavit ću,najavit ćeš,najavit će,najavit ćemo,najavit ćete,najavit će,budem najavio,budeš najavio,bude najavio,budemo najavili,budete najavili,budu najavili,najavio sam,najavio si,najavio je,najavili smo,najavili ste,najavili su,bio sam najavio,bio si najavio,bio je najavio,bili smo najavili,bili ste najavili,bili su najavili,,,,,,,najavih,najavi,najavi,najavismo,najaviste,najaviše,najavio bih,najavio bi,najavio bi,najavili bismo,najavili biste,najavili bi,bio bih najavio,bio bi najavio,bio bi najavio,bili bismo najavili,bili biste najavili,bili bi najavili,najavi,najavimo,najavite
najesti,to sate,najedem,najedeš,najede,najedemo,najedete,najedu,najest ću,najest ćeš,najest će,najest ćemo,najest ćete,najest će,budem najeo,budeš najeo,bude najeo,budemo najeli,budete najeli,budu najeli,najeo sam,najeo si,najeo je,najeli smo,najeli ste,najeli su,bio sam najeo,bio si najeo,bio je najeo,bili smo najeli,bili ste najeli,bili su najeli,,,,,,,najedoh,najede,najede,najedosmo,najedoste,najedoše,najeo bih,najeo bi,najeo bi,najeli bismo,najeli biste,najeli bi,bio bih najeo,bio bi najeo,bio bi najeo,bili bismo najeli,bili biste najeli,bili bi najeli,najedi,najedimo,najedite
naježiti,to cower,naježim,naježiš,naježi,naježimo,naježite,naježe,naježit ću,naježit ćeš,naježit će,naježit ćemo,naježit ćete,naježit će,budem naježio,budeš naježio,bude naježio,budemo naježili,budete naježili,budu naježili,naježio sam,naježio si,naježio je,naježili smo,naježili ste,naježili su,bio sam naježio,bio si naježio,bio je naježio,bili smo naježili,bili ste naježili,bili su naježili,,,,,,,naježih,naježi,naježi,naježismo,naježiste,naježiše,naježio bih,naježio bi,naježio bi,naježili bismo,naježili biste,naježili bi,bio bih naježio,bio bi naježio,bio bi naježio,bili bismo naježili,bili biste naježili,bili bi naježili,naježi,naježimo,naježite
najuriti,to chase away,najurim,najuriš,najuri,najurimo,najurite,najure,najurit ću,najurit ćeš,najurit će,najurit ćemo,najurit ćete,najurit će,budem najurio,budeš najurio,bude najurio,budemo najurili,budete najurili,budu najurili,najurio sam,najurio si,najurio je,najurili smo,najurili ste,najurili su,bio sam najurio,bio si najurio,bio je najurio,bili smo najurili,bili ste najurili,bili su najurili,,,,,,,najurih,najuri,najuri,najurismo,najuriste,najuriše,najurio bih,najurio bi,najurio bi,najurili bismo,najurili biste,najurili bi,bio bih najurio,bio bi najurio,bio bi najurio,bili bismo najurili,bili biste najurili,bili bi najurili,najuri,najurimo,najurite
nakalemiti,to graft,nakalemim,nakalemiš,nakalemi,nakalemimo,nakalemite,nakaleme,nakalemit ću,nakalemit ćeš,nakalemit će,nakalemit ćemo,nakalemit ćete,nakalemit će,budem nakalemio,budeš nakalemio,bude nakalemio,budemo nakalemili,budete nakalemili,budu nakalemili,nakalemio sam,nakalemio si,nakalemio je,nakalemili smo,nakalemili ste,nakalemili su,bio sam nakalemio,bio si nakalemio,bio je nakalemio,bili smo nakalemili,bili ste nakalemili,bili su nakalemili,,,,,,,nakalemih,nakalemi,nakalemi,nakalemismo,nakalemiste,nakalemiše,nakalemio bih,nakalemio bi,nakalemio bi,nakalemili bismo,nakalemili biste,nakalemili bi,bio bih nakalemio,bio bi nakalemio,bio bi nakalemio,bili bismo nakalemili,bili biste nakalemili,bili bi nakalemili,nakalemi,nakalemimo,nakalemite
nakaniti,to intend,nakanim,nakaniš,nakani,nakanimo,nakanite,nakane,nakanit ću,nakanit ćeš,nakanit će,nakanit ćemo,nakanit ćete,nakanit će,budem nakanio,budeš nakanio,bude nakanio,budemo nakanili,budete nakanili,budu nakanili,nakanio sam,nakanio si,nakanio je,nakanili smo,nakanili ste,nakanili su,bio sam nakanio,bio si nakanio,bio je nakanio,bili smo nakanili,bili ste nakanili,bili su nakanili,,,,,,,nakanih,nakani,nakani,nakanismo,nakaniste,nakaniše,nakanio bih,nakanio bi,nakanio bi,nakanili bismo,nakanili biste,nakanili bi,bio bih nakanio,bio bi nakanio,bio bi nakanio,bili bismo nakanili,bili biste nakanili,bili bi nakanili,nakani,nakanimo,nakanite
nakanjivati,to intend,nakanjujem,nakanjuješ,nakanjuje,nakanjujemo,nakanjujete,nakanjuju,nakanjivat ću,nakanjivat ćeš,nakanjivat će,nakanjivat ćemo,nakanjivat ćete,nakanjivat će,budem nakanjivao,budeš nakanjivao,bude nakanjivao,budemo nakanjivali,budete nakanjivali,budu nakanjivali,nakanjivao sam,nakanjivao si,nakanjivao je,nakanjivali smo,nakanjivali ste,nakanjivali su,bio sam nakanjivao,bio si nakanjivao,bio je nakanjivao,bili smo nakanjivali,bili ste nakanjivali,bili su nakanjivali,nakanjivah,nakanjivaše,nakanjivaše,nakanjivasmo,nakanjivaste,nakanjivahu,,,,,,,nakanjivao bih,nakanjivao bi,nakanjivao bi,nakanjivali bismo,nakanjivali biste,nakanjivali bi,bio bih nakanjivao,bio bi nakanjivao,bio bi nakanjivao,bili bismo nakanjivali,bili biste nakanjivali,bili bi nakanjivali,nakanjivaj,nakanjivajmo,nakanjivajte
naklanjati,to bend,naklanjam,naklanjaš,naklanja,naklanjamo,naklanjate,naklanjaju,naklanjat ću,naklanjat ćeš,naklanjat će,naklanjat ćemo,naklanjat ćete,naklanjat će,budem naklanjao,budeš naklanjao,bude naklanjao,budemo naklanjali,budete naklanjali,budu naklanjali,naklanjao sam,naklanjao si,naklanjao je,naklanjali smo,naklanjali ste,naklanjali su,bio sam naklanjao,bio si naklanjao,bio je naklanjao,bili smo naklanjali,bili ste naklanjali,bili su naklanjali,naklanjah,naklanja,naklanja,naklanjasmo,naklanjaste,naklanjaše,,,,,,,naklanjao bih,naklanjao bi,naklanjao bi,naklanjali bismo,naklanjali biste,naklanjali bi,bio bih naklanjao,bio bi naklanjao,bio bi naklanjao,bili bismo naklanjali,bili biste naklanjali,bili bi naklanjali,naklanjaj,naklanjajmo,naklanjajte
nakloniti,to bend,naklonim,nakloniš,nakloni,naklonimo,naklonite,naklone,naklonit ću,naklonit ćeš,naklonit će,naklonit ćemo,naklonit ćete,naklonit će,budem naklonio,budeš naklonio,bude naklonio,budemo naklonili,budete naklonili,budu naklonili,naklonio sam,naklonio si,naklonio je,naklonili smo,naklonili ste,naklonili su,bio sam naklonio,bio si naklonio,bio je naklonio,bili smo naklonili,bili ste naklonili,bili su naklonili,,,,,,,naklonih,nakloni,nakloni,naklonismo,nakloniste,nakloniše,naklonio bih,naklonio bi,naklonio bi,naklonili bismo,naklonili biste,naklonili bi,bio bih naklonio,bio bi naklonio,bio bi naklonio,bili bismo naklonili,bili biste naklonili,bili bi naklonili,nakloni,naklonimo,naklonite
naknaditi,to compensate,naknadim,naknadiš,naknadi,naknadimo,naknadite,naknade,naknadit ću,naknadit ćeš,naknadit će,naknadit ćemo,naknadit ćete,naknadit će,budem naknadio,budeš naknadio,bude naknadio,budemo naknadili,budete naknadili,budu naknadili,naknadio sam,naknadio si,naknadio je,naknadili smo,naknadili ste,naknadili su,bio sam naknadio,bio si naknadio,bio je naknadio,bili smo naknadili,bili ste naknadili,bili su naknadili,,,,,,,naknadih,naknadi,naknadi,naknadismo,naknadiste,naknadiše,naknadio bih,naknadio bi,naknadio bi,naknadili bismo,naknadili biste,naknadili bi,bio bih naknadio,bio bi naknadio,bio bi naknadio,bili bismo naknadili,bili biste naknadili,bili bi naknadili,naknadi,naknadimo,naknadite
naknađivati,to compensate,naknađujem,naknađuješ,naknađuje,naknađujemo,naknađujete,naknađuju,naknađivat ću,naknađivat ćeš,naknađivat će,naknađivat ćemo,naknađivat ćete,naknađivat će,budem naknađivao,budeš naknađivao,bude naknađivao,budemo naknađivali,budete naknađivali,budu naknađivali,naknađivao sam,naknađivao si,naknađivao je,naknađivali smo,naknađivali ste,naknađivali su,bio sam naknađivao,bio si naknađivao,bio je naknađivao,bili smo naknađivali,bili ste naknađivali,bili su naknađivali,naknađivah,naknađivaše,naknađivaše,naknađivasmo,naknađivaste,naknađivahu,,,,,,,naknađivao bih,naknađivao bi,naknađivao bi,naknađivali bismo,naknađivali biste,naknađivali bi,bio bih naknađivao,bio bi naknađivao,bio bi naknađivao,bili bismo naknađivali,bili biste naknađivali,bili bi naknađivali,naknađuj,naknađujmo,naknađujte
nakositi,to mow,nakosim,nakosiš,nakosi,nakosimo,nakosite,nakose,nakosit ću,nakosit ćeš,nakosit će,nakosit ćemo,nakosit ćete,nakosit će,budem nakosio,budeš nakosio,bude nakosio,budemo nakosili,budete nakosili,budu nakosili,nakosio sam,nakosio si,nakosio je,nakosili smo,nakosili ste,nakosili su,bio sam nakosio,bio si nakosio,bio je nakosio,bili smo nakosili,bili ste nakosili,bili su nakosili,,,,,,,nakosih,nakosi,nakosi,nakosismo,nakosiste,nakosiše,nakosio bih,nakosio bi,nakosio bi,nakosili bismo,nakosili biste,nakosili bi,bio bih nakosio,bio bi nakosio,bio bi nakosio,bili bismo nakosili,bili biste nakosili,bili bi nakosili,nakosi,nakosimo,nakosite
nakosivati,to slant,nakosujem,nakosuješ,nakosuje,nakosujemo,nakosujete,nakosuju,nakosivat ću,nakosivat ćeš,nakosivat će,nakosivat ćemo,nakosivat ćete,nakosivat će,budem nakosivao,budeš nakosivao,bude nakosivao,budemo nakosivali,budete nakosivali,budu nakosivali,nakosivao sam,nakosivao si,nakosivao je,nakosivali smo,nakosivali ste,nakosivali su,bio sam nakosivao,bio si nakosivao,bio je nakosivao,bili smo nakosivali,bili ste nakosivali,bili su nakosivali,nakosivah,nakosivaše,nakosivaše,nakosivasmo,nakosivaste,nakosivahu,,,,,,,nakosivao bih,nakosivao bi,nakosivao bi,nakosivali bismo,nakosivali biste,nakosivali bi,bio bih nakosivao,bio bi nakosivao,bio bi nakosivao,bili bismo nakosivali,bili biste nakosivali,bili bi nakosivali,nakosuj,nakosujmo,nakosujte
nakupiti,to amass,nakupim,nakupiš,nakupi,nakupimo,nakupite,nakupe,nakupit ću,nakupit ćeš,nakupit će,nakupit ćemo,nakupit ćete,nakupit će,budem nakupio,budeš nakupio,bude nakupio,budemo nakupili,budete nakupili,budu nakupili,nakupio sam,nakupio si,nakupio je,nakupili smo,nakupili ste,nakupili su,bio sam nakupio,bio si nakupio,bio je nakupio,bili smo nakupili,bili ste nakupili,bili su nakupili,,,,,,,nakupih,nakupi,nakupi,nakupismo,nakupiste,nakupiše,nakupio bih,nakupio bi,nakupio bi,nakupili bismo,nakupili biste,nakupili bi,bio bih nakupio,bio bi nakupio,bio bi nakupio,bili bismo nakupili,bili biste nakupili,bili bi nakupili,nakupi,nakupimo,nakupite
nalaziti,to find,nalazim,nalaziš,nalazi,nalazimo,nalazite,nalaze,nalazit ću,nalazit ćeš,nalazit će,nalazit ćemo,nalazit ćete,nalazit će,budem nalazio,budeš nalazio,bude nalazio,budemo nalazili,budete nalazili,budu nalazili,nalazio sam,nalazio si,nalazio je,nalazili smo,nalazili ste,nalazili su,bio sam nalazio,bio si nalazio,bio je nalazio,bili smo nalazili,bili ste nalazili,bili su nalazili,nalažah,nalažaše,nalažaše,nalažasmo,nalažaste,nalažahu,,,,,,,nalazio bih,nalazio bi,nalazio bi,nalazili bismo,nalazili biste,nalazili bi,bio bih nalazio,bio bi nalazio,bio bi nalazio,bili bismo nalazili,bili biste nalazili,bili bi nalazili,nalazi,nalazimo,nalazite
nalikovati,to look like,nalikujem,nalikuješ,nalikuje,nalikujemo,nalikujete,nalikuju,nalikovat ću,nalikovat ćeš,nalikovat će,nalikovat ćemo,nalikovat ćete,nalikovat će,budem nalikovao,budeš nalikovao,bude nalikovao,budemo nalikovali,budete nalikovali,budu nalikovali,nalikovao sam,nalikovao si,nalikovao je,nalikovali smo,nalikovali ste,nalikovali su,bio sam nalikovao,bio si nalikovao,bio je nalikovao,bili smo nalikovali,bili ste nalikovali,bili su nalikovali,nalikovah,nalikovaše,nalikovaše,nalikovasmo,nalikovaste,nalikovahu,,,,,,,nalikovao bih,nalikovao bi,nalikovao bi,nalikovali bismo,nalikovali biste,nalikovali bi,bio bih nalikovao,bio bi nalikovao,bio bi nalikovao,bili bismo nalikovali,bili biste nalikovali,bili bi nalikovali,nalikuj,nalikujmo,nalikujte
naljutiti,to be mad at,naljutim,naljutiš,naljuti,naljutimo,naljutite,naljute,naljutit ću,naljutit ćeš,naljutit će,naljutit ćemo,naljutit ćete,naljutit će,budem naljutio,budeš naljutio,bude naljutio,budemo naljutili,budete naljutili,budu naljutili,naljutio sam,naljutio si,naljutio je,naljutili smo,naljutili ste,naljutili su,bio sam naljutio,bio si naljutio,bio je naljutio,bili smo naljutili,bili ste naljutili,bili su naljutili,,,,,,,naljutih,naljuti,naljuti,naljutismo,naljutiste,naljutiše,naljutio bih,naljutio bi,naljutio bi,naljutili bismo,naljutili biste,naljutili bi,bio bih naljutio,bio bi naljutio,bio bi naljutio,bili bismo naljutili,bili biste naljutili,bili bi naljutili,naljuti,naljutimo,naljutite
